번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보X(EPSG5174),좌표정보Y(EPSG5174),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,관리주체,약국영업면적,지정일자
1,약국,01_01_06_P,3070000,PHMD120253070034084000009,2025-06-16,,1,영업/정상,13,영업중,,,,,02-2202-4484,,,서울특별시 성북구 동소문동4가 2,"서울특별시 성북구 동소문로7길 4, 1층 (동소문동4가)",2832,새싹약국,2025-06-16 10:14:56,I,2025-06-18 00:20:02,,200744.959185581,454198.775231553,,,,,,,,,,,,,,,,,,50.0,20250616.0
2,약국,01_01_06_P,3220000,PHMD120253220033084000017,2025-06-13,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 112-21 로뎀2빌딩,"서울특별시 강남구 선릉로131길 12, 로뎀2빌딩 1층 (논현동)",6059,강남하트약국,2025-06-11 15:33:30,I,2025-06-15 00:20:02,,203455.650608674,446182.551713885,,,,,,,,,,,,,,,,,,32.0,20250613.0
3,약국,01_01_06_P,3050000,PHMD120253050034084000010,2025-06-13,,1,영업/정상,13,영업중,,,,,0507-1379-5265,,,서울특별시 동대문구 이문동 304-27 1층,"서울특별시 동대문구 휘경로 25, 1층 (이문동)",2420,외대드림약국,2025-06-13 16:48:46,I,2025-06-15 00:20:02,,205471.152799552,454795.718965235,,,,,,,,,,,,,,,,,,34.82,20250613.0
4,약국,01_01_06_P,3210000,PHMD120253210034084000012,2025-06-13,,1,영업/정상,13,영업중,,,,,02-597-4888,,,서울특별시 서초구 방배동 952-2 101호,"서울특별시 서초구 서초대로 12-1, 101호 (방배동)",6675,네이처약국,2025-06-13 15:57:18,I,2025-06-15 00:20:02,,198500.749705703,442568.590388376,,,,,,,,,,,,,,,,,,28.73,20250613.0
5,약국,01_01_06_P,3210000,PHMD120253210034084000011,2025-06-13,,1,영업/정상,13,영업중,,,,,02-514-5380,,,서울특별시 서초구 잠원동 19-10 103호,"서울특별시 서초구 나루터로 80, 103호 (잠원동)",6526,신사자은약국,2025-06-16 10:43:45,U,2025-06-18 02:40:00,,201567.450055361,445895.814757844,,,,,,,,,,,,,,,,,,30.59,20250613.0
6,약국,01_01_06_P,3210000,PHMD120253210034084000013,2025-06-13,,1,영업/정상,13,영업중,,,,,02-533-0886,,,서울특별시 서초구 서초동 1317-20 아라타워 110호,"서울특별시 서초구 서초대로77길 3, 1층 110호 (서초동)",6615,타워약국,2025-06-13 16:42:03,I,2025-06-15 00:20:02,,202276.917171991,443970.967951703,,,,,,,,,,,,,,,,,,15.0,20250613.0
7,약국,01_01_06_P,3230000,PHMD120253230034084000012,2025-06-13,,1,영업/정상,13,영업중,,,,,02-6339-9595,,,서울특별시 송파구 석촌동 174-15,"서울특별시 송파구 송파대로 447, 1층 101호 (석촌동)",5616,석촌한빛약국,2025-06-13 11:14:56,I,2025-06-15 00:20:02,,209273.023191146,444909.575584965,,,,,,,,,,,,,,,,,,63.8,20250613.0
8,약국,01_01_06_P,3030000,PHMD120253030033084000004,2025-06-13,,1,영업/정상,13,영업중,,,,,02-2297-1121,,,서울특별시 성동구 금호동1가 172,"서울특별시 성동구 난계로 35, 2층 (금호동1가)",4727,초록약국,2025-06-13 14:09:24,I,2025-06-15 00:20:02,,202101.398694057,450358.716765773,,,,,,,,,,,,,,,,,,27.4,20250613.0
9,약국,01_01_06_P,3170000,PHMD120253170035084000004,2025-06-11,,1,영업/정상,13,영업중,,,,,02-6177-7207,,,서울특별시 금천구 가산동 451-1 가산 어반워크I,"서울특별시 금천구 가산디지털2로 135, 가산 어반워크I 2층 222-1호 (가산동)",8504,참약사 드림약국,2025-06-11 14:16:54,I,2025-06-15 00:20:02,,189161.545672175,441988.711766202,,,,,,,,,,,,,,,,,,43.12,20250611.0
10,약국,01_01_06_P,3040000,PHMD120253040033084000007,2025-06-11,,1,영업/정상,13,영업중,,,,,02-457-7778,,,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 판매시설 B2층 11a호 (자양동)",5050,퍼스트온누리약국,2025-06-11 16:06:51,I,2025-06-15 00:20:02,,,,,,,,,,,,,,,,,,,,,35.3,20250611.0
